0,1,2,3,4,5,6,7,8,9
Settings,Your Name,"Name, Phone Numbers, Email",,,,,,,
Settings,Your Name,"Name, Phone Numbers, Email",,,,,,,
Settings,Your Name,"Name, Phone Numbers, Email",,,,,,,
Settings,Your Name,"Name, Phone Numbers, Email",,,,,,,
Settings,Your Name,Password & Security,Change Password,,,,,,
Settings,Your Name,Password & Security,TRUSTED PHONE NUMBER Edit,,,,,,
Settings,Your Name,Payment & Shipping,,,,,,,
Settings,Airplane Mode,,,,,,,,
Settings,WiFi,,,,,,,,
Settings,Bluetooth,,,,,,,,
Settings,Cellular,,,,,,,,
Settings,,,,,,hello,,,
Settings,,,,,,,,,
Settings,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Settings,Notifications,,,,,,,,
Settings,Sounds and Haptics,,,,,,,,
Settings,Do Not Disturb,,,,,,,,
Settings,General,,,,,,,,
Settings,Control Center,,,,,,,,
Settings,Display and Brightness,,,,,,,,
Settings,Wallpaper,,,,,,,,
Settings,Siri and Search,,,,,,,,
Settings,Face ID and Passcode,,,,,,,,
Settings,Emergency SOS,,,,,,,,
Settings,Battery,,,,,,,,
Settings,Privacy,,,,,,,,
Settings,iTunes and App Store,,,,,,,,
Settings,Wallet and Apple Pay,,,,,,,,
Settings,Passwords and Accounts,,,,,,,,
Settings,Mail,,,,,,,,
Settings,Contacts,,,,,,,,
Settings,Calendar,,,,,,,,
Settings,Notes,,,,,,,,
Settings,Reminders,,,,,,,,
Settings,Voice Memos,,,,,,,,
Settings,Phone,,,,,,,,
Settings,Messages,,,,,,,,
Settings,FaceTime,,,,,,,,
Settings,Maps,,,,,,,,
Settings,Compass,,,,,,,,
Settings,Safari,,,,,,,,
Settings,Music,,,,,,,,
Settings,TV,,,,,,,,
Settings,Photos,,,,,,,,
Settings,Camera,,,,,,,,
Settings,Books,,,,,,,,
Settings,Podcasts,,,,,,,,
Settings,Game Center,,,,,,,,
Settings,TV Provider,,,,,,,,
Settings,Third Party Apps,,,,,,,,
